Epoch,Collocation Loss,Physics Loss,Total Loss,Alpha
0,nan,117454353203200.0,nan,1e-14
1000,nan,13591889575936.0,nan,1e-14
2000,nan,8414910480384.0,nan,1e-14
3000,nan,5822170529792.0,nan,1e-14
4000,nan,4972232048640.0,nan,1e-14
5000,nan,3167271256064.0,nan,1e-14
6000,nan,2095175827456.0,nan,1e-14
7000,nan,2866123898880.0,nan,1e-14
8000,nan,1283961782272.0,nan,1e-14
9000,nan,598771433472.0,nan,1e-14
10000,nan,415047122944.0,nan,1e-14
11000,nan,315859697664.0,nan,1e-14
12000,nan,290136031232.0,nan,1e-14
13000,nan,263387299840.0,nan,1e-14
14000,nan,219738963968.0,nan,1e-14
